

2014年07月01日大盤統計資訊
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)"
"1452  ","宏益  ","211652","102","2424097","11.5","11.5","11.4","11.45","-","0.05","11.4","37","11.45","17","10.32"
"1453  ","大將  ","48470","30","494643","10.2","10.25","10.15","10.2"," ","0","10.15","2","10.2","6","48.57"
"1454  ","台富  ","15003","11","121564","8.11","8.11","8.1","8.1","-","0.02","8.07","2","8.1","15","26.13"
"1455  ","集盛  ","510534","209","4765647","9.37","9.4","9.3","9.34","-","0.03","9.33","12","9.34","8","19.87"
"1456  ","怡華  ","68572","17","668841","9.5","10.15","9.5","10.1","+","0.58","9.53","3","10","12","0.00"
"1457  ","宜進  ","652965","160","5618035","8.67","8.67","8.57","8.59","-","0.09","8.59","1","8.61","9","11.16"
"1459  ","聯發  ","2158126","567","22759463","10.65","10.7","10.4","10.55","+","0.1","10.5","104","10.55","14","16.75"
"1460  ","宏遠  ","5012593","1544","89119231","18.1","18.1","17.55","17.6","-","0.3","17.6","34","17.65","3","33.21"
"1463  ","強盛  ","260381","93","3779055","14.55","14.6","14.5","14.5","-","0.05","14.5","7","14.55","18","39.19"
"1464  ","得力  ","103009","51","1232249","12.05","12.05","11.9","11.9","-","0.1","11.9","85","12","19","0.00"
"1465  ","偉全  ","3476662","1586","87479261","25.4","25.4","24.5","25.25","+","1.5","25.25","21","25.3","21","17.66"
"1466  ","聚隆  ","1462651","604","34675579","23.9","24.05","23.25","23.4"," ","0","23.35","2","23.4","2","23.64"
"1467  ","南緯  ","1103200","379","16302150","14.75","14.95","14.65","14.7","+","0.1","14.65","95","14.7","12","18.61"
"1468  ","昶和  ","31000","17","319750","10.55","10.55","10.15","10.2","-","0.15","10.2","12","10.3","1","0.00"
"1469  ","理隆  ","13343","8","159378","11.9","12.1","11.9","11.95","-","0.3","11.95","2","12.05","1","0.00"
"1470  ","大統染","4000","4","71750","17.85","18.35","17.75","18.35","+","0.5","18","1","18.35","1","37.45"
"1471  ","首利  ","2342560","541","24773146","10.35","10.7","10.35","10.5","+","0.15","10.5","92","10.55","62","0.00"
"1472  ","三洋紡","59930","52","2567110","42.9","43.45","42.25","42.25","-","0.65","42.25","2","42.5","2","0.00"
"1473  ","台南  ","914281","450","29175375","31.7","32.2","31.55","32.1","+","0.45","32.05","2","32.1","15","28.16"
"1474  ","弘裕  ","94001","33","854589","9.18","9.18","9.04","9.04","+","0.04","9.04","1","9.08","3","16.74"
"1475  ","本盟  ","9000","9","148750","16.3","16.7","16.3","16.6","-","0.2","16.3","6","16.6","1","0.00"
"1476  ","儒鴻  ","3108909","2509","1095524367","365","372","346","347.5","-","14.5","347.5","41","349.5","4","31.11"
"1477  ","聚陽  ","1166737","714","186385657","162.5","163","157","161.5"," ","0","161.5","2","162","37","18.98"
"1503  ","士電  ","91305","63","3439136","37.75","37.75","37.6","37.65","-","0.05","37.65","2","37.7","40","15.89"
"1504  ","東元  ","4118642","1749","142150547","34.35","34.65","34.25","34.6","+","0.25","34.5","266","34.6","27","18.02"
"1506  ","正道  ","2462124","925","58619175","24.6","24.6","23.15","23.8","-","0.6","23.75","10","23.8","49","0.00"
"1507  ","永大  ","1890611","1068","130640358","68.5","69.8","68.5","69.5","X","0","69.4","22","69.5","228","15.65"
"1512  ","瑞利  ","1022185","328","9110288","8.91","9","8.86","8.91","+","0.01","8.91","4","8.95","34","0.00"
"1513  ","中興電","1964226","692","41672153","21.3","21.35","21.15","21.15","-","0.2","21.15","107","21.2","11","17.34"
"1514  ","亞力  ","1502503","330","14399818","9.39","9.85","9.36","9.53","+","0.15","9.53","5","9.54","4","29.78"
"1515  ","力山  ","294515","77","3271266","11.1","11.2","11.05","11.1"," ","0","11.05","52","11.1","1","9.82"
"1516  ","川飛  ","3742","9","38014","10.05","10.05","10.05","10.05","+","0.25","10.05","1","--","0","50.25"
"1517  ","利奇  ","785329","293","12847911","16.5","16.5","16.25","16.4"," ","0","16.35","1","16.4","44","10.86"
"1519  ","華城  ","183140","82","2899094","15.85","15.9","15.8","15.8","-","0.05","15.8","20","15.9","11","28.73"
"1521  ","大億  ","157097","137","13646890","87.3","87.6","86.1","86.1","-","1.2","86","32","86.5","2","18.52"
"1522  ","堤維西","997702","445","20923630","21","21.15","20.85","20.95","+","0.1","20.95","27","21","5","48.72"
"1524  ","耿鼎  ","867000","250","7295810","8.42","8.51","8.4","8.4","-","0.06","8.4","32","8.41","4","0.00"
"1525  ","江申  ","350912","263","27567426","79.7","80.4","78","78.1","-","1.4","78.1","13","78.3","1","16.83"
"1526  ","日馳  ","94333","35","1073313","11.6","11.6","11.3","11.35","-","0.1","11.35","9","11.4","3","14.74"
"1527  ","鑽全  ","3710529","2160","162400801","44","44.5","43.3","43.5","-","0.5","43.5","54","43.55","23","11.24"
"1528  ","恩德  ","110818","62","1619540","14.6","14.75","14.5","14.7","+","0.15","14.65","2","14.7","2","19.34"
"1529  ","樂士  ","46000","12","165360","3.65","3.65","3.45","3.59","+","0.14","3.55","30","3.6","99","0.00"
"1530  ","亞崴  ","123066","72","6790210","55.2","55.6","55","55","-","0.2","55","34","55.1","1","21.83"
"1531  ","高林股","1057653","551","27668522","25.7","26.5","25.4","26.45","+","1.05","26.4","5","26.45","4","19.31"
"1532  ","勤美  ","784921","372","27441384","35","35.15","34.6","35.1","+","0.15","35.05","7","35.1","11","4.37"
"1533  ","車王電","5785156","3549","430265757","73.9","75.5","73.2","73.9"," ","0","73.8","13","73.9","28","27.89"
"1535  ","中宇  ","49364","49","3739984","75.9","76","75.6","75.7","-","0.2","75.7","12","75.9","1","16.24"
"1536  ","和大  ","1442053","857","76250967","53.3","53.6","52.6","52.9","-","0.1","52.8","30","52.9","26","25.07"
"1537  ","廣隆  ","351240","290","35962480","103.5","103.5","101","101.5","-","2","101.5","31","102","3","15.38"
"1538  ","正峰新","578294","187","5466048","9.39","9.52","9.39","9.48","+","0.11","9.48","28","9.49","10","0.00"
"1539  ","巨庭  ","257406","163","5618888","21.5","22.2","21.5","21.55","+","0.05","21.55","12","21.65","3","16.2"
"1540  ","喬福  ","3793987","1411","94761425","23.7","25.3","23.6","24.65","+","1","24.65","44","24.7","4","14.5"
"1541  ","錩泰  ","102000","62","1781850","17.3","17.55","17.3","17.55","+","0.25","17.45","8","17.55","8","60.52"
"1560  ","中砂  ","1195254","849","98227148","82.5","82.9","81.8","82.1","-","0.4","82.1","7","82.2","68","20.63"
"1568  ","倉佑  ","569200","289","15649920","27.6","27.8","27.45","27.5","+","0.05","27.5","4","27.55","6","29.57"
"1582  ","信錦  ","3408812","1928","248927930","73","74.5","71.4","71.5","-","1.2","71.5","115","71.8","21","16.47"
"1583  ","程泰  ","149276","138","15216876","101.5","103.5","101","101","-","0.5","101","18","102","9","24.57"
"1589  ","F-永冠","614268","428","87942920","142","144.5","141","142.5","+","0.5","142.5","23","143","8","21.62"
"1590  ","F-亞德","633275","517","204081125","324","328","317","318","-","3.5","318","9","319","16","29.64"
"1603  ","華電  ","134871","53","1690186","12.6","12.6","12.5","12.55","-","0.05","12.55","11","12.6","38","13.35"
"1604  ","聲寶  ","850926","279","10345631","12.3","12.3","12.05","12.1"," ","0","12.1","11","12.15","60","13.44"
"1605  ","華新  ","7485759","1523","79998409","10.7","10.8","10.6","10.7","+","0.05","10.65","117","10.7","1,042","0.00"
"1608  ","華榮  ","789910","213","8836044","11.25","11.25","11.15","11.2","-","0.05","11.2","37","11.25","188","25.45"
"1609  ","大亞  ","595628","205","4365154","7.33","7.37","7.31","7.32","-","0.01","7.32","26","7.33","3","66.55"
"1611  ","中電  ","606730","201","7389256","12.2","12.3","12.1","12.3","+","0.2","12.25","16","12.3","38","0.00"
"1612  ","宏泰  ","595095","165","6716925","11.3","11.35","11.25","11.25","-","0.05","11.25","120","11.3","25","30.41"
"1613  ","台一  ","529107","169","3488654","6.58","6.64","6.56","6.58","+","0.01","6.58","3","6.59","67","0.00"
"1614  ","三洋電","198500","98","6738525","34","34.4","33.65","34.05","-","0.15","34.05","1","34.15","20","38.69"
"1615  ","大山  ","66520","20","703762","10.6","10.65","10.55","10.65","+","0.05","10.55","6","10.65","4","20.48"
"1616  ","億泰  ","712768","178","4375041","6.15","6.22","6.08","6.22","-","0.03","6.2","2","6.22","3","0.00"
"1617  ","榮星  ","57000","34","510560","8.91","9.03","8.9","9.03","+","0.19","8.95","5","9","4","64.5"
"1618  ","合機  ","164450","56","1559625","9.5","9.53","9.44","9.5"," ","0","9.5","6","9.51","4","0.00"
"1626  ","F-艾美","60017","42","3722562","62.5","62.5","61.8","61.9","-","0.4","61.9","4","62.2","1","67.28"
"1701  ","中化  ","1011609","355","23553621","23.3","23.4","23.2","23.35"," ","0","23.3","1","23.35","15","25.94"
"1702  ","南僑  ","3744317","2540","257493120","69","70.9","67.1","67.3","-","1.5","67.3","62","67.4","4","18.24"
"1704  ","榮化  ","9227631","2613","235544427","24.4","25.9","24.35","25.9","+","1.65","25.9","13,774","--","0","0.00"
"1707  ","葡萄王","6855961","4276","966185929","135","144","133","143.5","+","8.5","143","24","143.5","4","21.81"
"1708  ","東鹼  ","1667874","818","60640696","35.65","36.85","35.5","36.25","+","0.6","36.25","74","36.35","10","13.23"
"1709  ","和益  ","71723","44","1054151","14.7","14.75","14.65","14.65"," ","0","14.7","2","14.75","17","22.2"
"1710  ","東聯  ","1892934","568","58669004","31","31.2","30.7","31.2","+","0.25","31.2","187","31.25","52","25.16"
"1711  ","永光  ","21636380","6864","738843877","34.3","34.5","33.6","33.65","-","0.55","33.65","66","33.7","14","22.89"
"1712  ","興農  ","3141164","838","58061063","18.55","18.6","18.4","18.55"," ","0","18.5","4","18.55","43","11.97"
